day,trades,net,entry_thr,cal_net,skipped
2020-12-10,0,0.0,0.8,-180.0,True
2020-12-11,3,-3436.5882683889304,0.8,2915.0,False
2020-12-14,0,0.0,0.65,5220.0,False
2020-12-15,4,-2078.171747456421,0.6,1038.0,False
2020-12-16,0,0.0,0.8,0.0,True
2020-12-17,0,0.0,0.8,0.0,True
2020-12-18,0,0.0,0.75,1289.0,False
2020-12-21,0,0.0,0.8,0.0,True
2020-12-22,1,-1064.3854255736715,0.6,2044.0,False
2020-12-23,0,0.0,0.8,0.0,True
2020-12-24,0,0.0,0.8,0.0,True
2020-12-28,0,0.0,0.8,4278.0,False
2020-12-29,1,102.9923259712937,0.6,377.0,False
2020-12-30,0,0.0,0.8,0.0,True
2020-12-31,1,-139.97625168043584,0.75,1353.0,False
